Time difference of 28.21059 mins
[1] "==============="
Self-Organizing Map 

800 samples
 40 predictor
  2 classes: '0', '1' 

No pre-processing
Resampling: Cross-Validated (10 fold, repeated 2 times) 

Summary of sample sizes: 720, 721, 721, 720, 720, 720, ... 

Resampling results across tuning parameters:

  xdim  ydim  xweight  Accuracy  Kappa  Accuracy SD  Kappa SD
   3    12    0.900    0.811     0.622  0.0497       0.0993  
   3    13    0.500    0.813     0.625  0.0394       0.0787  
   3    13    0.536    0.816     0.631  0.0379       0.0762  
   3    13    0.573    0.821     0.641  0.0396       0.0794  
   3    13    0.609    0.838     0.675  0.0456       0.0917  
   3    13    0.645    0.823     0.645  0.0414       0.0831  
   3    13    0.682    0.828     0.655  0.0432       0.0866  
   3    13    0.718    0.828     0.656  0.0463       0.0929  
   3    13    0.755    0.832     0.664  0.0298       0.0598  
   3    13    0.791    0.830     0.660  0.0395       0.0790  
   3    13    0.827    0.834     0.667  0.0531       0.1064  
   3    13    0.864    0.824     0.649  0.0514       0.1027  
   3    13    0.900    0.831     0.661  0.0406       0.0815  
   4     4    0.500    0.836     0.673  0.0464       0.0929  
   4     4    0.536    0.839     0.679  0.0405       0.0809  
   4     4    0.573    0.819     0.639  0.0374       0.0745  
   4     4    0.609    0.826     0.653  0.0420       0.0837  
   4     4    0.645    0.845     0.689  0.0462       0.0924  
   4     4    0.682    0.843     0.686  0.0399       0.0798  
   4     4    0.718    0.836     0.673  0.0321       0.0639  
   4     4    0.755    0.830     0.660  0.0411       0.0823  
   4     4    0.791    0.838     0.676  0.0421       0.0841  
   4     4    0.827    0.836     0.671  0.0386       0.0773  
   4     4    0.864    0.841     0.681  0.0401       0.0800  
   4     4    0.900    0.833     0.666  0.0413       0.0827  
   4     5    0.500    0.842     0.684  0.0410       0.0822  
   4     5    0.536    0.842     0.684  0.0381       0.0764  
   4     5    0.573    0.826     0.652  0.0360       0.0721  
   4     5    0.609    0.849     0.698  0.0406       0.0814  
   4     5    0.645    0.834     0.669  0.0447       0.0892  
   4     5    0.682    0.834     0.668  0.0372       0.0742  
   4     5    0.718    0.842     0.685  0.0288       0.0578  
   4     5    0.755    0.846     0.691  0.0318       0.0638  
   4     5    0.791    0.838     0.675  0.0326       0.0653  
   4     5    0.827    0.846     0.691  0.0409       0.0819  
   4     5    0.864    0.836     0.671  0.0375       0.0748  
   4     5    0.900    0.843     0.687  0.0416       0.0831  
   4     6    0.500    0.825     0.650  0.0323       0.0648  
   4     6    0.536    0.829     0.659  0.0341       0.0683  
   4     6    0.573    0.837     0.674  0.0447       0.0897  
   4     6    0.609    0.838     0.675  0.0384       0.0770  
   4     6    0.645    0.834     0.668  0.0465       0.0932  
   4     6    0.682    0.825     0.650  0.0328       0.0655  
   4     6    0.718    0.829     0.659  0.0376       0.0753  
   4     6    0.755    0.828     0.655  0.0326       0.0652  
   4     6    0.791    0.833     0.666  0.0311       0.0624  
   4     6    0.827    0.834     0.669  0.0289       0.0578  
   4     6    0.864    0.849     0.698  0.0347       0.0694  
   4     6    0.900    0.829     0.657  0.0387       0.0776  
   4     7    0.500    0.827     0.654  0.0375       0.0749  
   4     7    0.536    0.826     0.651  0.0255       0.0512  
   4     7    0.573    0.830     0.660  0.0371       0.0744  
