Time difference of 2.118694 hours
[1] "==============="
Heteroscedastic Discriminant Analysis 

800 samples
 40 predictor
  2 classes: '0', '1' 

No pre-processing
Resampling: Cross-Validated (10 fold, repeated 2 times) 

Summary of sample sizes: 720, 720, 720, 720, 720, 720, ... 

Resampling results across tuning parameters:

  gamma  lambda  newdim  Accuracy  Kappa  Accuracy SD  Kappa SD
  0.918  0.6364   6        NaN       NaN      NA           NA  
  0.918  0.6364   7        NaN       NaN      NA           NA  
  0.918  0.6364   8      0.763     0.527  0.0506       0.1007  
  0.918  0.6364   9      0.761     0.522  0.0481       0.0955  
  0.918  0.6364  10      0.767     0.534  0.0518       0.1029  
  0.918  0.6364  11      0.761     0.522  0.0513       0.1017  
  0.918  0.6364  12      0.761     0.523  0.0534       0.1058  
  0.918  0.7273   2        NaN       NaN      NA           NA  
  0.918  0.7273   3        NaN       NaN      NA           NA  
  0.918  0.7273   4        NaN       NaN      NA           NA  
  0.918  0.7273   5        NaN       NaN      NA           NA  
  0.918  0.7273   6        NaN       NaN      NA           NA  
  0.918  0.7273   7        NaN       NaN      NA           NA  
  0.918  0.7273   8      0.782     0.565  0.0556       0.1116  
  0.918  0.7273   9      0.778     0.556  0.0547       0.1096  
  0.918  0.7273  10      0.775     0.550  0.0545       0.1089  
  0.918  0.7273  11      0.792     0.585  0.0532       0.1064  
  0.918  0.7273  12      0.791     0.581  0.0548       0.1094  
  0.918  0.8182   2        NaN       NaN      NA           NA  
  0.918  0.8182   3        NaN       NaN      NA           NA  
  0.918  0.8182   4        NaN       NaN      NA           NA  
  0.918  0.8182   5        NaN       NaN      NA           NA  
  0.918  0.8182   6        NaN       NaN      NA           NA  
  0.918  0.8182   7        NaN       NaN      NA           NA  
  0.918  0.8182   8      0.806     0.611  0.0468       0.0938  
  0.918  0.8182   9      0.799     0.597  0.0453       0.0908  
  0.918  0.8182  10      0.802     0.605  0.0439       0.0877  
 [ reached getOption("max.print") -- omitted 156 rows ]

Kappa was used to select the optimal model using  the largest value.
The final values used for the model were gamma = 0.9181818, lambda = 1 and newdim = 10. 
[1] "==============="
Confusion Matrix and Statistics

          Reference
Prediction  0  1
         0 86 21
         1 12 81
                                          
               Accuracy : 0.835           
                 95% CI : (0.7762, 0.8836)
    No Information Rate : 0.51            
    P-Value [Acc > NIR] : <2e-16          
                                          
                  Kappa : 0.6705          
 Mcnemar's Test P-Value : 0.1637          
                                          
            Sensitivity : 0.8776          
            Specificity : 0.7941          
         Pos Pred Value : 0.8037          
         Neg Pred Value : 0.8710          
             Prevalence : 0.4900          
         Detection Rate : 0.4300          
   Detection Prevalence : 0.5350          
      Balanced Accuracy : 0.8358          
                                          
       'Positive' Class : 0               
                                          
