Time difference of 2.118694 hours
[1] "==============="
Heteroscedastic Discriminant Analysis 

800 samples
 40 predictor
  2 classes: '0', '1' 

No pre-processing
Resampling: Cross-Validated (10 fold, repeated 2 times) 

Summary of sample sizes: 720, 720, 720, 720, 720, 720, ... 

Resampling results across tuning parameters:

  gamma  lambda  newdim  Accuracy  Kappa  Accuracy SD  Kappa SD
  0.182  0.5455  12      0.627     0.257  0.0387       0.0776  
  0.182  0.6364   2        NaN       NaN      NA           NA  
  0.182  0.6364   3        NaN       NaN      NA           NA  
  0.182  0.6364   4        NaN       NaN      NA           NA  
  0.182  0.6364   5        NaN       NaN      NA           NA  
  0.182  0.6364   6        NaN       NaN      NA           NA  
  0.182  0.6364   7        NaN       NaN      NA           NA  
  0.182  0.6364   8      0.639     0.280  0.0265       0.0532  
  0.182  0.6364   9      0.641     0.285  0.0353       0.0703  
  0.182  0.6364  10      0.639     0.280  0.0332       0.0664  
  0.182  0.6364  11      0.634     0.270  0.0392       0.0784  
  0.182  0.6364  12      0.633     0.268  0.0350       0.0699  
  0.182  0.7273   2        NaN       NaN      NA           NA  
  0.182  0.7273   3        NaN       NaN      NA           NA  
  0.182  0.7273   4        NaN       NaN      NA           NA  
  0.182  0.7273   5        NaN       NaN      NA           NA  
  0.182  0.7273   6        NaN       NaN      NA           NA  
  0.182  0.7273   7        NaN       NaN      NA           NA  
  0.182  0.7273   8      0.646     0.294  0.0293       0.0581  
  0.182  0.7273   9      0.649     0.300  0.0346       0.0689  
  0.182  0.7273  10      0.644     0.291  0.0380       0.0761  
  0.182  0.7273  11      0.644     0.291  0.0371       0.0743  
  0.182  0.7273  12      0.642     0.287  0.0374       0.0744  
  0.182  0.8182   2        NaN       NaN      NA           NA  
  0.182  0.8182   3        NaN       NaN      NA           NA  
  0.182  0.8182   4        NaN       NaN      NA           NA  
  0.182  0.8182   5        NaN       NaN      NA           NA  
  0.182  0.8182   6        NaN       NaN      NA           NA  
  0.182  0.8182   7        NaN       NaN      NA           NA  
  0.182  0.8182   8      0.656     0.315  0.0286       0.0570  
  0.182  0.8182   9      0.657     0.316  0.0366       0.0730  
  0.182  0.8182  10      0.659     0.321  0.0378       0.0753  
  0.182  0.8182  11      0.653     0.309  0.0348       0.0692  
  0.182  0.8182  12      0.649     0.301  0.0329       0.0652  
  0.182  0.9091   2        NaN       NaN      NA           NA  
  0.182  0.9091   3        NaN       NaN      NA           NA  
  0.182  0.9091   4        NaN       NaN      NA           NA  
  0.182  0.9091   5        NaN       NaN      NA           NA  
  0.182  0.9091   6        NaN       NaN      NA           NA  
  0.182  0.9091   7        NaN       NaN      NA           NA  
  0.182  0.9091   8      0.671     0.345  0.0304       0.0600  
  0.182  0.9091   9      0.674     0.350  0.0350       0.0693  
  0.182  0.9091  10      0.669     0.340  0.0390       0.0770  
  0.182  0.9091  11      0.668     0.339  0.0385       0.0761  
  0.182  0.9091  12      0.666     0.334  0.0365       0.0724  
  0.182  1.0000   2        NaN       NaN      NA           NA  
  0.182  1.0000   3        NaN       NaN      NA           NA  
  0.182  1.0000   4        NaN       NaN      NA           NA  
  0.182  1.0000   5        NaN       NaN      NA           NA  
  0.182  1.0000   6        NaN       NaN      NA           NA  
  0.182  1.0000   7        NaN       NaN      NA           NA  
  0.182  1.0000   8      0.687     0.377  0.0360       0.0714  
  0.182  1.0000   9      0.694     0.391  0.0384       0.0761  
  0.182  1.0000  10      0.693     0.388  0.0407       0.0807  
  0.182  1.0000  11      0.685     0.372  0.0368       0.0727  
  0.182  1.0000  12      0.688     0.378  0.0445       0.0884  
  0.264  0.0000   2        NaN       NaN      NA           NA  
  0.264  0.0000   3        NaN       NaN      NA           NA  
  0.264  0.0000   4        NaN       NaN      NA           NA  
  0.264  0.0000   5        NaN       NaN      NA           NA  
  0.264  0.0000   6        NaN       NaN      NA           NA  
  0.264  0.0000   7        NaN       NaN      NA           NA  
  0.264  0.0000   8      0.618     0.238  0.0216       0.0431  
  0.264  0.0000   9      0.619     0.241  0.0340       0.0685  
  0.264  0.0000  10      0.614     0.231  0.0357       0.0716  
  0.264  0.0000  11      0.616     0.235  0.0428       0.0860  
  0.264  0.0000  12      0.616     0.233  0.0413       0.0827  
  0.264  0.0909   2        NaN       NaN      NA           NA  
  0.264  0.0909   3        NaN       NaN      NA           NA  
  0.264  0.0909   4        NaN       NaN      NA           NA  
  0.264  0.0909   5        NaN       NaN      NA           NA  
  0.264  0.0909   6        NaN       NaN      NA           NA  
  0.264  0.0909   7        NaN       NaN      NA           NA  
  0.264  0.0909   8      0.618     0.238  0.0216       0.0431  
  0.264  0.0909   9      0.620     0.242  0.0342       0.0690  
  0.264  0.0909  10      0.614     0.231  0.0357       0.0716  
  0.264  0.0909  11      0.616     0.233  0.0439       0.0881  
  0.264  0.0909  12      0.616     0.233  0.0413       0.0827  
  0.264  0.1818   2        NaN       NaN      NA           NA  
  0.264  0.1818   3        NaN       NaN      NA           NA  
  0.264  0.1818   4        NaN       NaN      NA           NA  
  0.264  0.1818   5        NaN       NaN      NA           NA  
  0.264  0.1818   6        NaN       NaN      NA           NA  
  0.264  0.1818   7        NaN       NaN      NA           NA  
  0.264  0.1818   8      0.619     0.240  0.0223       0.0447  
  0.264  0.1818   9      0.621     0.243  0.0340       0.0684  
  0.264  0.1818  10      0.613     0.228  0.0348       0.0698  
  0.264  0.1818  11      0.616     0.235  0.0440       0.0882  
  0.264  0.1818  12      0.617     0.236  0.0416       0.0833  
  0.264  0.2727   2        NaN       NaN      NA           NA  
  0.264  0.2727   3        NaN       NaN      NA           NA  
  0.264  0.2727   4        NaN       NaN      NA           NA  
  0.264  0.2727   5        NaN       NaN      NA           NA  
  0.264  0.2727   6        NaN       NaN      NA           NA  
  0.264  0.2727   7        NaN       NaN      NA           NA  
  0.264  0.2727   8      0.621     0.244  0.0233       0.0467  
  0.264  0.2727   9      0.624     0.251  0.0339       0.0683  
  0.264  0.2727  10      0.616     0.234  0.0359       0.0720  
  0.264  0.2727  11      0.618     0.238  0.0436       0.0874  
  0.264  0.2727  12      0.621     0.245  0.0420       0.0842  
  0.264  0.3636   2        NaN       NaN      NA           NA  
  0.264  0.3636   3        NaN       NaN      NA           NA  
  0.264  0.3636   4        NaN       NaN      NA           NA  
  0.264  0.3636   5        NaN       NaN      NA           NA  
  0.264  0.3636   6        NaN       NaN      NA           NA  
  0.264  0.3636   7        NaN       NaN      NA           NA  
  0.264  0.3636   8      0.624     0.251  0.0245       0.0491  
  0.264  0.3636   9      0.629     0.260  0.0352       0.0706  
  0.264  0.3636  10      0.619     0.240  0.0375       0.0753  
  0.264  0.3636  11      0.621     0.245  0.0460       0.0923  
  0.264  0.3636  12      0.620     0.242  0.0437       0.0875  
  0.264  0.4545   2        NaN       NaN      NA           NA  
  0.264  0.4545   3        NaN       NaN      NA           NA  
  0.264  0.4545   4        NaN       NaN      NA           NA  
  0.264  0.4545   5        NaN       NaN      NA           NA  
  0.264  0.4545   6        NaN       NaN      NA           NA  
  0.264  0.4545   7        NaN       NaN      NA           NA  
  0.264  0.4545   8      0.631     0.265  0.0251       0.0504  
  0.264  0.4545   9      0.633     0.268  0.0321       0.0645  
  0.264  0.4545  10      0.628     0.258  0.0350       0.0702  
  0.264  0.4545  11      0.632     0.266  0.0437       0.0878  
  0.264  0.4545  12      0.625     0.252  0.0429       0.0859  
  0.264  0.5455   2        NaN       NaN      NA           NA  
  0.264  0.5455   3        NaN       NaN      NA           NA  
  0.264  0.5455   4        NaN       NaN      NA           NA  
  0.264  0.5455   5        NaN       NaN      NA           NA  
  0.264  0.5455   6        NaN       NaN      NA           NA  
  0.264  0.5455   7        NaN       NaN      NA           NA  
  0.264  0.5455   8      0.639     0.281  0.0295       0.0592  
  0.264  0.5455   9      0.640     0.282  0.0319       0.0639  
  0.264  0.5455  10      0.636     0.275  0.0338       0.0678  
  0.264  0.5455  11      0.636     0.274  0.0423       0.0849  
  0.264  0.5455  12      0.631     0.265  0.0376       0.0750  
  0.264  0.6364   2        NaN       NaN      NA           NA  
  0.264  0.6364   3        NaN       NaN      NA           NA  
  0.264  0.6364   4        NaN       NaN      NA           NA  
  0.264  0.6364   5        NaN       NaN      NA           NA  
  0.264  0.6364   6        NaN       NaN      NA           NA  
  0.264  0.6364   7        NaN       NaN      NA           NA  
  0.264  0.6364   8      0.654     0.311  0.0280       0.0564  
  0.264  0.6364   9      0.652     0.307  0.0386       0.0769  
  0.264  0.6364  10      0.654     0.311  0.0377       0.0755  
  0.264  0.6364  11      0.646     0.294  0.0353       0.0707  
  0.264  0.6364  12      0.647     0.297  0.0402       0.0801  
  0.264  0.7273   2        NaN       NaN      NA           NA  
  0.264  0.7273   3        NaN       NaN      NA           NA  
  0.264  0.7273   4        NaN       NaN      NA           NA  
  0.264  0.7273   5        NaN       NaN      NA           NA  
  0.264  0.7273   6        NaN       NaN      NA           NA  
  0.264  0.7273   7        NaN       NaN      NA           NA  
  0.264  0.7273   8      0.667     0.337  0.0340       0.0678  
  0.264  0.7273   9      0.671     0.345  0.0351       0.0698  
  0.264  0.7273  10      0.667     0.336  0.0387       0.0770  
  0.264  0.7273  11      0.665     0.332  0.0382       0.0759  
  0.264  0.7273  12      0.671     0.343  0.0401       0.0797  
  0.264  0.8182   2        NaN       NaN      NA           NA  
